RWZI_NUMBER,RWZI_NAME,bouwjaar,type,biocap,hydrcap,ontvwater,laatste_aanpassing,biocapgr136
334,RWZI - Leeuwarden,2001,Carroussel/Voordenitrificatie,250.000 i.e. &agrave; 136 gr. TZV / dag,,,,250000
70,RWZI - Leiden Noord,1987,Ultra laagbelaste actief-slibinstallatie,154.000 i.e. &agrave; 136 gr. TZV / dag,,,1993,154000
71,RWZI - Leiden Zuid-West,1992,Ultra laagbelaste actief-slibinstallatie,126.000 i.e. &agrave; 136 gr. TZV / dag,,,,126000
101,RWZI - Leidsche Rijn,2000,"Biologische fosfaatverwijdering, carrousel",92.650 i.e. &agrave; 136 gr. TZV / dag,,Amsterdam-Rijnkanaal,,92650
72,RWZI - Leimuiden,1992,Ultra laagbelaste actief-slibinstallatie,10.500 i.e. &agrave; 136 gr. TZV / dag,,,,10500
316,RWZI - Lelystad,,"Zeer laag belaste actief-slibsintallatie, type Carrousel en UCT",177.000 i.e. &agrave; 136 gr. TZV / dag,,Lage Dwarsvaart,,177000
335,RWZI - Lemmer,1978,Carrousel,42.000 i.e. &agrave; 136 gr. TZV / dag,,,,42000
227,RWZI - Lichtenvoorde,1972,Carrousel,72.000 i.e. &agrave; 136 gr. TZV / dag,,Baakse beek,,72000
258,RWZI - Lienden,1996,Oxidatiesloot,8.600 i.e. &agrave; 136 gr. TZV / dag,,Neder-Rijn,,8600
73,RWZI - Lisse,1997,Ultra laagbelaste actief-slibinstallatie,49.000 i.e. &agrave; 136 gr. TZV / dag,,,,49000
48,RWZI - Loenen,1985,"Oxidatietank tegenstroombeluchting ",12.500 i.e. &agrave; 136 gr. TZV / dag,,Amsterdam-Rijnkanaal,,12500
102,RWZI - Lopik,1986,"LBAS, biologische fosfaatverwijdering (UCT) ",32.750 i.e. &agrave; 136 gr. TZV / dag,,Lek,2007,32750
212,RWZI - Losser,1992,"Carrousel, Propstroom met voordenitrificatie",,,,,
49,RWZI - Maarssen,2002,Aeratietank,24.000 i.e. &agrave; 136 gr. TZV / dag,,Vecht,,24000
103,RWZI - Maarssenbroek,1977,Carrousel,60.000 i.e. &agrave; 136 gr. TZV / dag,,Amsterdam-Rijnkanaal,,60000
259,RWZI - Maasbommel,1984,Oxidatiesloot,7.800 i.e. &agrave; 136 gr. TZV / dag,,Bermsloot,,7800
188,RWZI - Maastricht-Bosscherveld,1994,Ultra laag belaste actief-slibinstallatie,132.900 i.e. &agrave; 136 gr. TZV / dag,,,,132900
189,RWZI - Maastricht-Heugem,1975,Carrousel zonder voorbezinking,82.400 i.e. &agrave; 136 gr. TZV / dag,,,2000,82400
190,RWZI - Maastricht-Limmel,1987,Ultra laag belaste actief-slibinstallatie,163.000 i.e. &agrave; 136 gr. TZV / dag,,,2003,163000
171,RWZI - Marum,1979,Oxidatiesloot Discontinu,9.301 i.e. &agrave; 136 gr. TZV / dag,,Oude Diepje,,9301
299,RWZI - Mastgat,1976,"Actiefslib (Carrousel) ",11.500 i.e. &agrave; 136 gr. TZV / dag,,,1992,11500
260,RWZI - Meerkerk,1996,Schreiber,6.500 i.e. &agrave; 136 gr. TZV / dag,,Merwedekanaal,,6500
180,RWZI - Meijel,1977,Ultra laag belaste actief-slibinstallatie,15.900 i.e. &agrave; 136 gr. TZV / dag,,,1992,15900
199,RWZI - Meppel,1965,Carrousel,132.202 i.e. &agrave; 136 gr. TZV / dag,,Drentse Hoofdvaart en de Oude Vaart.,1974,132202
10,RWZI - Middelharnis,1981,Ultralaagbelaste actief-slibinstallatie,52.941 i.e. &agrave; 136 gr. TZV / dag,,Haringvliet,2001,52941
261,RWZI - Millingen,1996,Oxidatiesloot,15.000 i.e. &agrave; 136 gr. TZV / dag,,Boven-Rijn,,15000
104,RWZI - Montfoort,1972,Oxidatietank,19.000 i.e. &agrave; 136 gr. TZV / dag,,"Hollandse IJssel ",,19000
262,RWZI - Nieuw-Lekkerland,1996,Schreiber + Actiefslib,15.500 i.e. &agrave; 136 gr. TZV / dag,,De Lek,,15500
126,RWZI - Nieuw-Vossemeer,,Oxidatiesloot,3.180 i.e. &agrave; 136 gr. TZV / dag,,Polderwatergang,,3180
54,RWZI - Nieuwe Waterweg,1966,Actiefslib,110.000 i.e. &agrave; 136 gr. TZV / dag,,Nieuwe Waterweg,2001,110000
74,RWZI - Nieuwe Wetering,1990,Ultra laagbelaste actief-slibinstallatie (Carrousel),35.000 i.e. &agrave; 136 gr. TZV / dag,,,,35000
105,RWZI - Nieuwegein,1975,Carrousel,159.000 i.e. &agrave; 136 gr. TZV / dag,,Lek,1986,159000
228,RWZI - Nieuwgraaf,1999,Oxidatietank continu,435.000 i.e. &agrave; 136 gr. TZV / dag,,IJssel,,435000
75,RWZI - Nieuwveen,1993,Ultra laagbelaste actief-slibinstallatie (Carrousel),44.800 i.e. &agrave; 136 gr. TZV / dag,,,,44800
125,RWZI - Nieuwveer,,Actiefslib (2-traps),485.000 i.e. &agrave; 136 gr. TZV / dag,,Hollands Diep,,485000
277,RWZI - Nijkerk,1964,Actiefslib,100.000 i.e. &agrave; 136 gr. TZV / dag,,Arkervaart,2008,100000
263,RWZI - Nijmegen,2003,Pho Redox,440.000 i.e. &agrave; 136 gr. TZV / dag,,Waal,,440000
213,RWZI - Nijverdal,1976,Carrousel,,,,,
76,RWZI - Noordwijk,1965,Laagbelaste oxidatiebedden met gisting,77.000 i.e. &agrave; 136 gr. TZV / dag,,,,77000
77,RWZI - Noordwijkerhout,1969,Laagbelaste oxidatiebedden,28.000 i.e. &agrave; 136 gr. TZV / dag,,,,28000
11,RWZI - Numansdorp,1988,Ultralaagbelaste actief-slibinstallatie,25.147 i.e. &agrave; 136 gr. TZV / dag,,Hollandsch Diep,,25147
115,RWZI - Oijen,,Actief-slibinstallatie,397.000 i.e. &agrave; 136 gr. TZV / dag,,,,397000
229,RWZI - Olburgen,1977,Aeratietank,151.665 i.e. &agrave; 136 gr. TZV / dag,,IJssel,,151665
214,RWZI - Oldenzaal,1972,Actiefslib,,,,1998,
148,RWZI - Olst,1990,Oxidatiesloot met anoxische zone,22.550 i.e. &agrave; 136 gr. TZV / dag,,IJssel,2003,22550
286,RWZI - Ommen,2000,"UCT (BCFS) ",29.241 i.e. &agrave; 136 gr. TZV / dag,,Ommerkanaal,,29241
172,RWZI - Onderdendam,1975,Carrousel,22.853 i.e. &agrave; 136 gr. TZV / dag,,Boterdiep,,22853
12,RWZI - Ooltgensplaat,1988,Ultralaagbelaste actief-slibinstallatie,3.400 i.e. &agrave; 136 gr. TZV / dag,,Volkerak,,3400
311,RWZI - Oostburg,1982,Actiefslib,16.550 i.e. &agrave; 136 gr. TZV / dag,,,,16550
32,RWZI - Oosterend,,,,,,,
336,RWZI - Oosterwolde,1981,Carrousel,29.000 i.e. &agrave; 136 gr. TZV / dag,,,,29000
33,RWZI - Oosthuizen,,,8.300 i.e. &agrave; 136 gr. TZV / dag,,,1988,8300
13,RWZI - Oostvoorne,1977,Ultralaagbelaste actief-slibinstallatie,49.632 i.e. &agrave; 136 gr. TZV / dag,,Beerkanaal,,49632
215,RWZI - Ootmarsum,2007,Hybride MBR,,,,,
128,RWZI - Ossendrecht,,Oxidatiesloot,13.000 i.e. &agrave; 136 gr. TZV / dag,,Schipperskil,,13000
